text,likes,replies,predicted_stance
Wait a second. When ukranians were bombing Donetzk and Lugansk 8 years in a row it was ok for UN? And right now everyone is concerned?,1,1,pro-Ukraine
"Everyone in the comments, talking about "" prey for the Ukraine "" "" oh I feel I bad for the kids ""...... but I don't see anything about volunteering for combat???????........",7,2,pro-Ukraine
United Nations needs to go the way of the League of Nations,1,0,pro-Ukraine
This could have all been avoided if the Usa and Europe wouldn’t have push nato to Ukrainian,17,12,pro-Ukraine
Biden & Harris’s Folly = 26AUG2021,1,0,pro-Ukraine
"While the invasion is happening , Joetato is in the bathroom with his new puppy having showertime with daddy. It won't be long and the new puppy will start biting everybody like the last dog Joetato got rid of. No showertime with daddy with the puppy or the daughter Joetato.",5,0,pro-Ukraine
"So unnecessary and sad for the people of Ukraine...Children left without their fathers, mothers losing their sons ..generations stopped ..How did we get here again? God be with them.. Wars and rumors of wars ..",2,1,pro-Ukraine
"Russia has the right to defend itself! No NATO in Ukraine , period.",8,4,pro-Russia
The UN. What a joke.,0,0,pro-Ukraine
i feel sorry for the people of ukraine that the EU and the US betrayed them to give them up their nukes.,6,0,pro-Ukraine
Look at how effective the UN is. Why do we pay for this disservice?,0,0,pro-Ukraine
The Bear in Daniel 7:5 is about to get its 3 ribs. Ukraine is the first. Kazakhstan and Belarus.,7,2,pro-Ukraine
Remember when the UN and NATO all agreed to invade Yugoslavia. Whats the difference now?,0,0,pro-Ukraine
God save Ukraine from evil,5,0,pro-Ukraine
Why the hell didn't Joementia tell Putin in WRITING that NATO wouldn't be allowed to Ukraine??!!!,0,0,pro-Ukraine
How can america help Ukraine with border problems when they can't even solve theirs??,4,0,pro-Ukraine
They may not be members of NATO But we did promise them we would protect them due to them disarming their nukes. Why are we not willing to fight? This is going to end terribly either way,1,0,pro-Ukraine
"Where'd the Putin trolls go claiming that ""lol there's no invasion!!1!""? I guess they'll have to fall back on the old ""Ukraine is Russian cuz we say so, there's Russians there y'know"" line a la Hitler's ""there's Germans in Austria and Czechoslovakia.""",5,0,pro-Ukraine
Why don't he just call Hunter to Crack them all up.,0,0,pro-Ukraine
You ppl didn't have the same energy when usa invaded Iraq......,13,4,pro-Ukraine
They should have played the whole thing instead of Laura Ingram interrupting,0,0,pro-Ukraine
We have such a strong president Brandon,9,0,pro-Ukraine
Let’s see the full power of the EU! This is your time to shine,1,0,pro-Ukraine
"Biden wanted a war, so he got a war. Let’s go Brandon.",20,0,pro-Ukraine
So many innocent people are going to die. This is beyond sad and is so very heart breaking.,2,0,pro-Ukraine
"Finland only had 200,000 troops in WW2 and defeated the entire Russian army. The Ukrainians can do the same if they play it smart.",3,1,pro-Ukraine
No Russian ever called me a whippersnapper,0,0,pro-Ukraine
You need to expel Russia from the Security Counsel.,3,0,pro-Ukraine
How about protecting our own border?,0,0,pro-Ukraine
Prayers for Ukraine God bless Ukraine for Our Lady of Rosary to protect Ukraine,3,0,pro-Ukraine
how do you invade a country without air support? I don't see one plane in the air.,0,0,pro-Ukraine
"Minsk agreements -- agreements that Ukraine broke -- which exacerbated the conflict in the Donbass Region, and caused the people of the Donbass Region to call on Putin and Russia to help them. A very large majority of the people of Donetsk and Luhansk (the Donbass Region) are ethnic Russians, speak Russian as their first language, and are heavily pro-Russian",4,1,pro-Russia
stay out of it....worry about OUR boarders,0,0,pro-Ukraine
"Fact of the matter is, Ukraine is historically Russian territory. Ukraine as we know it was created by Moscow. For most of the last 300+ years, Ukraine was built up and controlled by Moscow. This idea that it is a legitimate independent country is false. Russia has the inherent right to reunify with Ukraine at any time of its choosing, and any country that attempts to prevent that reunification is asking for a lot more trouble than it can possibly handle.",6,0,pro-Russia
Useless meeting at the UN clubhouse.,0,0,pro-Ukraine
"General Patton 1945: ""The Third Army alone with very little help and with damned few casualties, could kick what is left of the Russians in six weeks. You mark my words. Don't ever forget them... Someday we will have to fight them and it will take six years and cost us six million lives"" ""The difficulty in understanding the Russian is that we do not take cognizance of the fact that he is not a European, but an Asiatic, and therefore thinks deviously.""",11,6,pro-Ukraine
"Please lose that Hannity thing. Or to be realistic, make it pop up in the middle of someone's sentence every few minutes.",0,0,pro-Ukraine
Finally!!!Great job!!!Now denazification is beginning,6,0,pro-Ukraine
So sick of war! It's 2022 we all share this world together! Jesus help this world,1,0,pro-Ukraine
I never in my dreams thought that WW3 would've started in Ukraine smh,0,0,pro-Ukraine
"When it comes to the world of investing, most people don't know where to start. Fortunately, great us investors of the past and present can provide us with guidance",12,8,pro-Ukraine
BOOTS ON THE GROUND IN KYIV NOW!,0,0,pro-Ukraine
"Please Israel, help them. Please give Ukraine your Iron Dome technology.",3,0,pro-Ukraine
Biden eats ice cream while Putin eats Ukraine,1,0,pro-Ukraine
Hopefully that Russian gangster didn't just start WWIII.,4,5,pro-Ukraine
This is the problem of getting a comedian as a president because it will turn out to be a tragedy,0,0,pro-Ukraine
Deaf ears bub. Ukraine is toast.,3,0,pro-Ukraine
Has the UN ever helped keep peace?,0,0,pro-Ukraine
"Florida left the United States in 1991 and now in 2022 the United States is forcing Florida to return to the United States by force. Oh no wait, that's Russia and Ukraine",4,4,pro-Russia
Is the UN useless?,0,0,pro-Ukraine
God bless 🇷🇺,5,0,pro-Ukraine
Don't plead show the Russian ambassador the door,0,0,pro-Ukraine
War solves nothing,1,0,pro-Ukraine
WAG THE,1,0,pro-Ukraine
Where you've been ALL THESE 8 YEARS???,0,0,pro-Ukraine
We need to check on Taiwan soon,1,0,pro-Ukraine
There is nothing can do about it so be it.,0,0,pro-Ukraine
"I'm all for supporting Ukraine! Slava Ukraina! Putin needs to be stopped, by any means available.",0,0,pro-Ukraine
Someone do something!.,0,0,pro-Ukraine
Prayers this stops!,1,1,pro-Ukraine
Maybe we should never team up with Soviets during world war 2.,0,0,pro-Ukraine
The last thing we need is Matt LeBlanc in politics,0,0,pro-Ukraine
"The UN, really ? Good luck with that !",0,0,pro-Ukraine
Who would of thought Thano is right,0,0,pro-Ukraine
Give the man his guarantees!,0,0,pro-Ukraine
"when you pkay with the fire, fire is what you get",0,0,pro-Ukraine
i cant imagine what would make this man upset,0,0,pro-Ukraine
There almost at the Ukraine capital thought they would hold them back seems like a steam roll,0,0,pro-Ukraine
"Why did you show only a few seconds of this then cut it off, as if I don't know?",0,0,pro-Ukraine
"God Bless Ukraine. It's David vs. Goliath, good vs. evil. It's Biblical. 🇺🇦 🇺🇲",0,0,pro-Ukraine
The problem is!!! There is nobody that's got the GUY'S TO STAND UP!!! $$$ IS THE ONLY THING THAT MATTERS!!!,0,0,pro-Ukraine
Not our circus,0,0,pro-Ukraine
Praying,0,0,pro-Ukraine
Nobody did nothing to help.,0,0,pro-Ukraine
This Ukrainian Amb. is pleading in English? His pleads must target English speakers.,0,0,pro-Ukraine
I'm ready for the Lord's return now. God and guns are all we have. I miss how life used to be.,0,0,pro-Ukraine
All this going on while Brandon sleeps...,1,0,pro-Ukraine
No more mean tweets. So it's cool,1,0,pro-Ukraine
I just hope my people and family there will be OK wish more people would care,1,1,pro-Ukraine
UKRAINE: Pleads to UN for help. IRAQ & SYRIA: First time?,0,0,pro-Ukraine
The Obiden regime had better not get the U.S. involved in this.,3,0,pro-Ukraine
Its not an invasion you noobs. Its taking back whats theirs.,0,0,pro-Ukraine
So much respect for Ukraine. Make them pay for this. Become too costly to rule.,0,0,pro-Ukraine
The UN has a obligation to protect Ukraine which they better do.,1,0,pro-Ukraine
Why didn’t he give him time to answer?,0,0,pro-Ukraine
Oh god No,0,0,pro-Ukraine
I remember when Irak and Afganistán Libia and Syria We’re invaded ...!!’,0,0,pro-Ukraine
Unacceptable! Ukrainian Sovereignty is in violation of international laws and agreements,1,0,pro-Ukraine
Hongkongers stand with Ukraine,0,0,pro-Ukraine
"Hey Fox, give all your entertainment propagandist hosts some time off. I don’t know if I could stomach hearing Tucker cheerleading Putin and Ukrainian deaths.",2,1,pro-Russia
He not playing Ukraine is not going to join nato,0,0,pro-Ukraine
"We all are the same, we're human beings!!! It doesn't matter black, white, Chinese, Russia, Ukraine, green or purple, I will never understand this division between people! It's kinda childish and evil",0,0,pro-Ukraine
Sorry buddy. We're just as off-put and disgusted as you are.,0,0,pro-Ukraine
Someone please explain why I as an American should care,0,0,pro-Ukraine
That's wierd it was posted 48 minutes ago,0,0,pro-Ukraine
When a bully threatens you you come back hard and the bully loses its power,0,0,pro-Ukraine
"The U.S. and other NATO countries should be there with troops defending out ally, Ukraine! Whats the point of negotiating when now its failed? Whats next for Putin? Poland? Romania? Europe? Russia needs to be stopped with military deterrence.",0,0,pro-Ukraine
He is talking through his hat. Don't listen!,0,0,pro-Ukraine
Why does Fox side with Putin?,0,0,pro-Russia
They already destroyed all their bases.,0,0,pro-Ukraine
i really hope we don't sit back and watch this...... i dont want world war 3 i dont want nukes going.. but we cant sit back and let this happen Nato needs to back Ukraine NOW Слава Украине SLAVA UKRAINE GLORY TO UKRAINE,0,0,pro-Ukraine
Australian is with you Ukraine,0,1,pro-Ukraine
"Okay China, your move. Let’s get this party started.",0,0,pro-Ukraine
"Forgive me for being clueless, but why is Russia doing this?",1,2,pro-Ukraine
The beginning of the End! This is definitely going to be involving the entire world! Ww3 coming soon,1,0,pro-Ukraine
Can someone please make Biden to man up and rising ASAP !!,0,0,pro-Ukraine
BRAVO PUTIN BRAVO. God bless Russia and President Putin.,2,1,pro-Russia
"Putin warned you, but nooooo...",0,0,pro-Ukraine
Who stand to profit ?,0,0,pro-Ukraine
Get the Bonespurs Brigade ready asap,0,0,pro-Ukraine
Eight long years now why Ukraine did nothing to have peace with neighboring Russia? Till the last hour Ukraine only challenged Russia for war. This decision by the current government is causing grave concern worldwide. If you dont trust Russia then how Ukraine expect Russia to trust Ukraine? Why Ukraine is going to NATO and get modern weapons in planeloads? Not for peace but for WAR! Peace can not be acheived by weapons but by mutual trust and honesty. Praying for peace.,0,0,pro-Ukraine
I am sorry but US arrogance led to this,0,0,pro-Ukraine
"Pawns will be used to achieve goals of the player.......at this time, Ukraine is a pawn. LOL",0,0,pro-Ukraine
This is so sad I'm sure he feel helpless bc nothing he can say or do is going to stop this. one's that should be helping defend is just sitting around making up sanctions on a president that clearly doesn't give a crap. Just so sad watching this all unfold,0,0,pro-Ukraine
next time think with your head! still want in NATO?? when you are ON the border with NATO’s biggest enemy? what did you expect would happen?,0,0,pro-Ukraine
PUTTIN is a MAD MAN !! Get him OUT !!! NO NEED for this MADNESS !!,0,0,pro-Ukraine
Call on your Azov Battalion.,0,0,pro-Ukraine
Please don't provoke anymore. Get back to the negotiation table. War is bad. People get killed on both sides.,0,0,pro-Ukraine
like everyone else says ukraine = russia,0,0,pro-Ukraine
Hopefully we don’t get dragged into this.,0,1,pro-Ukraine
Popcorn is served.,0,0,pro-Ukraine
"That poor Ukrainian ambassador. His righteous indignation is all for show, since if NATO or the US will not intervene his people are at the mercy of Putin & Putin is not a merciful man. The United States has effectively withdrawn its empire card & is in chaotic retreat. The consequences of which are that previous allies are under siege from large aggressors who will likely overtake them & this has dramatic consequences not least of which the people's lives in those countries. Currently talking about Hong Kong, Ukraine, & Taiwan specifically right now since they have been center stage since this new approach has been implemented. It's so annoying to have a so-called ""United Nations"" because there is no such thing & never will be. We should call it something else, like: Conference of World Nations. Because that is what it actually is. The UN & it's various councils are always issuing condemnations & all sorts of other political theater. It's obnoxious & self-righteous NWO BS. It should be a international neutral-ground meeting place for ambassadors to hash out & confer with each other & respective world leaders to do the same, since there are always dramatic goings on to be discussed. & interested & affected parties can join in & be in the conversation. With no global hegemony by America or the west, there will be a time of uncertainty & chaos until a new power emerges. Russia has made its play I believe with the support of China who wishes to step into the global hegemonic role. Trust me everyone it's going to suck. I guess we might be finding out the hard way.",0,0,neutral
too bad Ukraine gave up their Nukes back in the day... would made a great deterrence now?,1,0,pro-Ukraine
Why did they cut his speech so short.,0,0,pro-Ukraine
Most worthless sound bite I've ever heard. What the hell happened?,0,0,pro-Ukraine
The UN helped Trudeau last week… but haven’t done a thing to help Ukraine,0,0,pro-Ukraine
Putin ruined this guys whole day.,0,0,pro-Ukraine
48 minutes ago this dude was out of a job,0,0,pro-Ukraine
Boycott Russia and all its games... Now.,0,0,pro-Ukraine
The UN will do stuff all as usual.,0,0,pro-Ukraine
They asked for this. All their own fault.,0,0,pro-Ukraine
WITHOUT TUCKER FOX IS DEAD. These headlines and topics are as crappy as any other.. sick,0,0,pro-Ukraine
And Putin is the acting president of the UN Security Council…hmmm,0,0,pro-Ukraine
"If biden doesnot end this war, perhaps presidenttrump can get called in to do some negotiating for the USA. What about it SleepyJoe?",1,0,pro-Ukraine
UN should intervene if they have moral conscience and responsibility to world peace.,0,1,pro-Ukraine
God be with Ukraine.,0,0,pro-Ukraine
"His plea refers to the hideous fact that Russia is chairing the UN peace council , he asked for the members to convene and point another country as a legitimate chair who respects the UN charter (meaning not blatantly attacking a sovereign country in which the UN should deter and where Russia should lead by example in stead of doing the exact opposite, what a joke",0,0,pro-Ukraine
Everyone saying Trump rooting for putin what a bunch of clowns.,0,0,pro-Ukraine
"Dear God️️in heaven, I come to you in the name of Jesus. I acknowledge to You that I am a sinner, and I am sorry for my sins and the , life that I have lived; I need your forgiveness. I believe that your only begotten Son Jesus Christ shed His precious blood on the cross at Calvary and died for my sins, and I am now willing to turn from my sin. You said in the bible that if we confess the Lord our God and believe in our hearts that God raised Jesus from the dead, we shall be saved. Right now I confess Jesus as my Lord. With my heart, I believe that God raised Jesus from the dead. This very moment I accept Jesus Christ as my own personal Savior and according to His Word, right now I am saved. Amen.",1,0,pro-Ukraine
Please heavenly father waken the hearts of leaders to stop this. In Jesus name amen.,0,0,pro-Ukraine
Maranatha,0,0,pro-Ukraine
Talk about carving up the world.,0,0,pro-Ukraine
The American Democrats voted for this!!,0,0,pro-Ukraine
he is a layer.,0,0,pro-Ukraine
"news already watched,4 hours ago. not up to the minute",0,0,pro-Ukraine
️️ Peace please ️️,0,0,pro-Ukraine
"WE HAVE TO STOP THIS WAR. People are STARVING AND DYING. I AM NOT A PERFECT PERSON. I also have anger MANAGEMENT issues and ALL I CAN SAY, I always sacrifice my EGO and PRide for the sake of PEACE. It is not EASY but I DID.",0,0,pro-Ukraine
What did Ukraine do to offend Russia into war. This all looks manufactured,0,0,pro-Ukraine
This is what happends when us does its shady buisness in europe,0,0,pro-Ukraine
Full invasion? I thought they entered the separatist area?,0,1,pro-Ukraine
"Is that diplomacy,,,commanding the ambassador of Russia as if his subordinate,,, OMG,,,",0,0,pro-Ukraine
Has anybody woke up Sleepy Joe and told him what's going on?,0,0,pro-Ukraine
"Well it happen feel really bad for the people of Ukraine but after the soviet union felt we saw first the serbs,then iraqis,libyans and syrians asking for exactly same thing when is gone end what is more dangerous China can just move now in Taiwan when the west is busy discussing Russia.All of this was avoidable if 30 year's ago the west was not so arrogant let Russia to be part of Nato...",0,0,pro-Ukraine
You didn't plead when nato attacked serbia,0,0,pro-Ukraine
"BIDEN TO ZELENSKY : DO YOU SEE TANKS? ZELENSKY TO. BIDEN ""YES"" BIDEN TO ZELENSKY: I THINK YOUR GETTING INVADED....ZELENSKY TO BIDEN: I THINK YOUR RIGHT...",0,0,pro-Ukraine
Ukraine if you are not a dog for the US for sure Russia would not have the invasion intention.,0,0,pro-Ukraine
I'mupset that nobody in the roomare wearing KM95 masks,0,0,pro-Ukraine
"My family who lives in Ukraine just sent pics of explosions, it's everywhere.....",0,1,pro-Ukraine
