text,likes,replies,predicted_stance
"Why are ALL of the British war 'churnalists' such negative, ambulance chasing whingers? They love creating melodrama where none exists. It has gotten to the stage where we just click away as soon as we hear a Brit. accent. Its like a never ending replay of the worst of the long running, depressing TV soaps they constantly consume like thirsty camels at an oasis.",0,0,pro-Ukraine
Yes protection if you could honor Minsk agreement,0,0,pro-Ukraine
Everyone seems to forget about the Ukraine national socialists during WWll,0,0,pro-Ukraine
mere propaganda by US,7,1,pro-Ukraine
the nuclear weapons that were located in Ukraine after the collapse of the Soviet Union did not belong to Ukrainians but to the Russian state.,0,0,pro-Russia
Cnn is still exists,0,0,pro-Ukraine
americans could ship batteries headlamps camping gear !!!!!,0,0,pro-Ukraine
Yawn.,0,0,pro-Ukraine
,1,0,pro-Ukraine
War cat.,0,0,pro-Ukraine
🇺🇸🇵🇷...🇺🇦🇺🇦,0,0,pro-Ukraine
Trump defunding the war. So much for democracy.,0,0,pro-Ukraine
"Dont worry, us taxpayers are apparently sending you another $725 million.",4,0,pro-Ukraine
Nk troops are flying drones,0,0,pro-Ukraine
Cnn is still exists or what,0,0,pro-Ukraine
Another CNN victory,1,0,pro-Ukraine
Ленин дал вам украину и скажите спасибо Сталину что Львов вам от Польши отдал Львов это Польша,5,0,pro-Ukraine
So sad that I question everything you post now on CNN. I used to watch everyday,9,1,pro-Ukraine
Gogo ukrein 🇺🇸🇵🇭🇳🇮🇭🇲🇪🇺🇸🇸🇩🇪🇦🇷🇸🇰🇳🇮🇯🇵🇹🇻🇨🇦󠁧󠁢󠁥󠁮󠁧󠁿🇳🇪🇸🇽🇾🇪🇻🇬🇨🇺🇮🇷,0,0,pro-Ukraine
Lmao how the fuck is it up to trump!?!? Joe Biden is the current sitting president.,0,0,pro-Ukraine
Cnn,6,1,pro-Ukraine
"I knew Trump scary self wasn't gone help them ppl, Putin best friend",0,0,pro-Russia
Ukraine already lost,8,1,pro-Ukraine
Agreement also states NATO not to encroach on Russia which he conveniently forgets to mention,1,1,pro-Ukraine
CCN. Corrupt Cable Network,11,3,pro-Ukraine
