text,likes,replies,predicted_stance
"As a Christian, I am meant to forgive. I can't forgive Israel for this. I simply can't.",0,0,pro-Gaza/Palestine
Hamas shouldnt have started something they couldnt finish.,4,0,pro-Gaza/Palestine
Excellent method acting - but the children and adults look Chubby and strong. This of course is the way it should be! No one should be starving in Gaza or anywhere else in the world. Regurgitating the same image of a starving child is done to lie to the world.,2,0,pro-Gaza/Palestine
That's terrible,0,0,pro-Gaza/Palestine
They did that guy dirty in the thumbnail,0,0,pro-Gaza/Palestine
“All” these govt leaders will have to face God this is insane 2025!,0,0,pro-Gaza/Palestine
They’re being starved by both Israel and the US,0,0,pro-Gaza/Palestine
how about reporting this on TV where it matters?,0,0,pro-Gaza/Palestine
This is why the aliens don’t show up. We’re animals treating each other horribly.,0,0,pro-Gaza/Palestine
Also why leave the body there? Oh yeah for clicks and likes and bullshit reasons sorry for the loss of life but they are the people who have done this. Besides that how do we not know this isn’t one of the precious lives that were taken hostage on October 7 does anyone know who this is? Staged as one of theirs when it’s not.,4,1,pro-Gaza/Palestine
"The UN can warn us all they like but none of them have lifted a finger to stop this. Seriously, what the hell..ll are they all getting paid for. This is so distressing. Walking four kilometres for one spoonful.....OMG . FEELS LIKE IM GOING MAD. SOMEONE DO SOMETHING....",0,0,pro-Gaza/Palestine
Blame palestine for supporting hamas,16,2,pro-Gaza/Palestine
Other Arab Countries need to step up!! This is not an American problem! We have our own citizens to look after since the horrible Biden administration!!!🇺🇸🇺🇸🇺🇸,0,0,pro-Gaza/Palestine
The Mom wasnt starving so why did the little girl i dont understand this.,8,7,pro-Gaza/Palestine
They make too many children. The world has been feeding them for decades.,3,0,neutral
Thumbnail made me think it was a Nipsey Hussle video,0,0,pro-Gaza/Palestine
"thanks AIPAC, you welcome",0,0,pro-Israel/anti-Hamas
Oh this infuriates me,14,3,pro-Gaza/Palestine
Help these people get food.,0,0,pro-Gaza/Palestine
So the hostages?,5,1,pro-Gaza/Palestine
Ain't nothing but a thing,1,0,neutral
Poor Muslims living in the stone age :(,2,0,neutral
Just as a reminder the USA has sent millions in aid to these people and the money was taken and spent op building weapons. These are the people that they also voted for and support. Maybe they should rethink who they allow in power.,1,0,pro-Gaza/Palestine
Nobody helps nobody on earth. No just hate,0,0,neutral
Why are we allowing this to happen?,1,0,pro-Gaza/Palestine
Well hopefully there country spends more money on there people instead of attacking Israel this is there own fault,0,0,pro-Gaza/Palestine
Israel did this,19,3,pro-Israel/anti-Hamas
"I dont understand why Israel are so cruel on Palestinian, if your brother ask for a bread would you give them a serpent or stone? This same question was ask by the Lord Jesus Christ to the Jews. Love your enemies if the are hungry feed them.",0,0,pro-Gaza/Palestine
"""Deadly starvation""? Heh? Is there some other kind I'm unaware of?",0,0,pro-Gaza/Palestine
"They made their bed and now they have to sleep in it , shouldn't start conflicts that may have consequences",9,6,neutral
Where is the Worthless United Nations 🇺🇳 and All the Muslim countries to help their Muslim Brothers and Sisters?,4,0,pro-Gaza/Palestine
,1,0,pro-Gaza/Palestine
Did this 4 year old condemn Hamas? How do we know he isn't anti-Semitic. Let's not waste food aid on children. /s,0,0,pro-Israel/anti-Hamas
Shame on they're government I mean shame on every government literally hell on earth so much bad people in power it makes me sick when do we stand up against all of them and take back what God gave us!!!,0,0,pro-Gaza/Palestine
War crimes,0,0,pro-Gaza/Palestine
Great acting from the best actresses of the MSM propaganda machine. not one tear shed from their eyes.,1,0,pro-Gaza/Palestine
this is a false narrative . . .,2,0,pro-Gaza/Palestine
Ask. Hamas. For food,3,0,pro-Gaza/Palestine
Bumpin for the truth and those who speak it,0,0,pro-Gaza/Palestine
Wait this is a good story let me get my camera.,1,0,pro-Gaza/Palestine
Bunch of BS,2,0,neutral
Disgusting,0,0,pro-Gaza/Palestine
"Prayers to these people, how horrible . What happened to the shipments of food that President Biden would send??? Dear lord help us all, how our world has become so cold and indifferent.",0,0,pro-Gaza/Palestine
The Phillies won today.,0,0,pro-Gaza/Palestine
Lol. As the over weight mom looks on...great propaganda,2,0,pro-Gaza/Palestine
"We know them they are layer,this is not even in Sudan .",1,0,pro-Gaza/Palestine
Too bad their parents put them in this situation,0,0,pro-Gaza/Palestine
,0,0,pro-Gaza/Palestine
According from the health minister of hamas!,0,0,pro-Gaza/Palestine
But youth likes bland.,0,0,neutral
Were they starving before or after you guys put new clothes on the kids for filming.,1,0,pro-Gaza/Palestine
️,0,0,pro-Gaza/Palestine
This is outrageous & so unnecessary. No one should have to go hungry in the world today. Shame on those who can stop this suffering.,0,0,pro-Gaza/Palestine
SHAME. ON CNN,2,0,pro-Gaza/Palestine
SUCH A LIAR S,2,0,pro-Gaza/Palestine
"""Deadly starvation""? WTF is that language?",2,1,pro-Gaza/Palestine
ISRAEL! WHY DO WE SUPPORT YOU!?,10,3,pro-Israel/anti-Hamas
FREE PALESTINE,1,0,pro-Gaza/Palestine
There in no position to provide for a child Edit: My heart goes out to the Palestinians this is deplorable,0,0,pro-Gaza/Palestine
When is starvation not deadly?,0,0,pro-Gaza/Palestine
Fake news,1,0,pro-Gaza/Palestine
"10 07 never forget to blame Hamas, not Israel",0,0,pro-Israel/anti-Hamas
"Maybe don't start wars. And, by the way, where is palestine, besides in the imagination of Dems13?",0,0,pro-Gaza/Palestine
Strange how the adults are a normal size and weight!,0,0,pro-Gaza/Palestine
Looks like nipsey on the thumbnail,0,0,pro-Gaza/Palestine
"(July 21, 2025 / JNS) The Israel Defense Forces on Sunday evening released footage showing hundreds of Gazan civilians looting an aid truck within close proximity to Israeli troops, who had been instructed to exercise restraint and refrain from opening fire. Commenting on the footage, IDF International Spokesman Lt. Col. Nadav Shoshani said, “Today, many civilians advance toward the soldiers. The only order given to our troops is: do not engage, do not shoot. “When you look past the headlines and Hamas’ lies, the truth is clear: Israel is not at war with the people of Gaza,” he added. In the footage, an IDF commander is heard instructing his troops: “Don’t be alarmed. Do not engage. No one shoots in their direction.” Throughout the 43-second clip, he repeatedly emphasizes, “No one shoots.” At the end of the video, the Palestinians are seen clapping and whistling toward the Israeli troops, according to Avichay Adraee, head of the IDF Spokesperson’s Unit’s Arab Media Branch, who noted the moment in a separate social media post. “The reaction of the Palestinians? It wasn’t fear … it was hope. Civilians began to welcome and cheer for our soldiers, as if they saw in them life after darkness,” Adraee wrote. “Anyone who has lived under Hamas’s lies knows that our soldiers and our presence are a source of hope.” “No starvation, no deliberate killing and no intentional targeting of aid recipients,” Adraee continued, adding: “There is Hamas propaganda with empty media mouthpieces spreading lies in an effort to salvage what remains of the defeated Hamas.” Earlier on Sunday, the Hamas-run Gaza Health Ministry claimed that approximately 80 Palestinians were killed by IDF troops while attempting to collect humanitarian aid in the northern part of the Strip. Israel’s Foreign Ministry stated that while soldiers had fired warning shots to “remove an immediate threat” posed by the large crowd of Palestinians approaching them, “an initial review suggests that the number of casualties reported does not align with the information held by the IDF.” Jerusalem added that “the IDF views the transfer of humanitarian aid into the Gaza Strip as a matter of utmost importance, and works to enable and facilitate its entry in coordination with the international community.” Israel and the United States in May installed a new organization, the Gaza Humanitarian Foundation, to handle food aid deliveries so that it directly reaches Palestinians civilians and bypasses Hamas terrorists. “Inaccurate reporting has again falsely stated that those seeking aid were killed near GHF’s distribution sites,” the NGO stated on Sunday. “This is blatantly false and inconsistent with what GHF workers are seeing on the ground. “The false reporting, perpetuated by the Hamas-controlled Gaza Health Ministry, is part of a larger pattern of Hamas trying to undermine and ultimately end GHF,” the group added. “It is no coincidence that this incident occurred during ceasefire negotiations, where Hamas continues to demand that GHF cease operations.” The GHF reported that it distributed nearly 32,000 food packages at two locations on Sunday, bringing the total number of meals provided since operations began to approximately 82 million.",0,0,pro-Israel/anti-Hamas
This is HOLOCAUST 2.0 !!!!! No way no way no way,0,0,pro-Gaza/Palestine
,0,0,pro-Gaza/Palestine
get the hell out of there then!,0,1,pro-Gaza/Palestine
"This is disgusting. It is NOT a war, it is a massacre. People who have long hollered about the Holocaust should be ASHAMED if the condone this.",0,0,neutral
Allah,1,2,pro-Gaza/Palestine
It’s 2025 wtffffff,0,0,pro-Gaza/Palestine
This child didn't starve overnight. Hamas has been confiscating humanitarian aid for months and selling it back to the Gazans.,0,0,pro-Gaza/Palestine
mbega isi,0,0,pro-Gaza/Palestine
Who will stop Israel?,0,0,pro-Gaza/Palestine
The Israelis AND Iranians need to dump their respective gov leaders for this crap to be able to end. The citizenry must rise!,0,0,pro-Gaza/Palestine
Scare tactics,0,0,pro-Gaza/Palestine
I would blame the parents for supporting radical beliefs. No child should go through this.,0,0,pro-Gaza/Palestine
"I am an American and I am hungry too, send me food. Idgaf about the sandpeople.",0,0,pro-Gaza/Palestine
"This is sad, but at the same time idk why this needs to be shown like it has an effect on us. This is something out of our control and probably will continue or get worse.",0,1,neutral
LEAVE PALESTINE ALONE,3,0,pro-Gaza/Palestine
So do we in Ametica. Did they extend a hand to help us when we are in need? No.,0,0,pro-Gaza/Palestine
This is so wrong and completely avoidable. Shame to Israel.,0,0,pro-Gaza/Palestine
SHAME SHAME SHAME,1,0,neutral
Meanwhile mom is all chubby cheeks.,0,0,pro-Gaza/Palestine
Maybe Trump will invite them to the next White House prayer breakfast,1,0,pro-Gaza/Palestine
"Turn to The One and Only True Living God, Allah can not hear you; maybe he's sleeping. Yeshua Hamashiach (Jesus) will help you. What do you have to lose? You don't even have food. So sad, praying for you all.",0,0,pro-Gaza/Palestine
,1,0,pro-Gaza/Palestine
western,0,0,pro-Gaza/Palestine
M.A.G.A,0,0,pro-Gaza/Palestine
God Bless Palestine 🇵🇸,0,1,pro-Gaza/Palestine
This is horrible disturbing sadness for for Christ or Yahweh or Allah's sake someone can someone help,0,0,pro-Gaza/Palestine
"oh, you mean they're not dancing in the streets anymore like they were October 7 oh what a shame",1,0,pro-Gaza/Palestine
Hamas propaganda,1,0,pro-Gaza/Palestine
